root_slp1	source	registers
aBizic	dcs:123,vidyut:6	ramayana-ayodhyakanda:36,mahabharata-aranyakaparva:19,mahabharata-shalyaparva:19
aBizo	vidyut:3	rigveda:2,atharvaveda:1
aBizu	dcs:4,vidyut:1	ramayana-balakanda:2,mahabharata-ashvamedhikaparva:1,manavadharmashastra:1
aBizwu	dcs:26	rigveda:6,mahabharata-adiparva:4,mahabharata-aranyakaparva:4
aBr	vidyut:1	ramayana-sundarakanda:1
aByAkf	dcs:1	mahabharata-bhishmaparva:1
aByasUy	dcs:33	mahabharata-udyogaparva:5,bhagavadgita-prabhupada:4,gitarthasamgraha-abhinavagupta:3
aByatI	dcs:8	mahabharata-dronaparva:2,mahabharata-udyogaparva:2,mahabharata-aranyakaparva:1
aByavekz	dcs:2	mahabharata-dronaparva:1,mahabharata-karnaparva:1
aBye	dcs:65	mahabharata-aranyakaparva:16,mahabharata-dronaparva:9,mahabharata-sabhaparva:6
aByf	vidyut:1	mahabharata-karnaparva:1
aByude	dcs:2	atharvaveda:2
aByudi	dcs:19,vidyut:1	mahabharata-karnaparva:7,manavadharmashastra:4,ramayana-ayodhyakanda:3
aByupe	dcs:37	mahabharata-adiparva:7,nyaya-bhashya:7,mahabharata-sabhaparva:4
aByutTA	dcs:8	mahabharata-adiparva:4,atharvaveda:1,ramayana-ayodhyakanda:1
aDii	vidyut:7	manavadharmashastra:3,rigveda:1,tai-up:1
aDizWA	dcs:115,vidyut:10	mahabharata-karnaparva:8,atharvaveda:7,shv-up:7
aDvarIy	dcs:7	rigveda:5,atharvaveda:2
aDvary	dcs:1	rigveda:1
aDyavaso	dcs:8	nyaya-bhashya:3,ramayana-balakanda:1,gitarthasamgraha-abhinavagupta:1
aGAy	dcs:10	rigveda:8,atharvaveda:2
aNKay	dcs:1	rigveda:1
aNkUy	dcs:1	rigveda:1
aNkay	dcs:9	mahabharata-shalyaparva:2,kama-sutra:1,gitagovinda:1
